goos: darwin
goarch: arm64
pkg: github.com/swonky/set/setbench
cpu: Apple M1
BenchmarkContainsMiss/Frozen/32-8          	233915487	         5.191 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/32-8          	235724931	         5.011 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/32-8          	239223817	         5.018 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/32-8          	240055792	         5.026 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/32-8          	239436465	         5.047 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/32-8          	237571875	         5.042 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/128-8            	233663967	         5.159 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/128-8            	234402564	         5.126 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/128-8            	234405673	         5.110 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/128-8            	235038992	         5.122 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/128-8            	234234530	         5.112 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/128-8         	234551161	         5.122 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/128-8         	233666223	         5.129 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/128-8         	232939129	         5.128 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/128-8         	234163227	         5.122 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/128-8         	228027420	         5.136 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/128-8         	235499929	         5.090 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/128-8         	239356330	         5.043 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/128-8         	238929337	         5.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/128-8         	239765628	         5.034 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/128-8         	239558811	         5.001 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/1024-8           	233729334	         5.128 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/1024-8           	234089397	         5.155 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/1024-8           	232650643	         5.198 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/1024-8           	231250557	         5.176 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/1024-8           	233360202	         5.135 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/1024-8        	233443770	         5.167 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/1024-8        	232515331	         5.224 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/1024-8        	232508798	         5.186 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/1024-8        	234263872	         5.120 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/1024-8        	234388522	         5.114 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/1024-8        	237265358	         5.029 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/1024-8        	235324147	         5.068 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/1024-8        	235406454	         5.029 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/1024-8        	238804582	         5.416 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/1024-8        	236052997	         5.530 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/10000-8          	207731402	         5.181 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/10000-8          	233925651	         5.184 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/10000-8          	233092404	         5.143 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/10000-8          	233100968	         5.169 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/10000-8          	229817641	         5.141 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/10000-8       	217964991	         5.160 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/10000-8       	227465098	         5.125 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/10000-8       	234215749	         5.114 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/10000-8       	233772229	         5.129 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Frozen/10000-8       	234009492	         5.126 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/10000-8       	239174210	         5.098 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/10000-8       	237321588	         5.063 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/10000-8       	238423483	         5.057 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/10000-8       	236101665	         5.040 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Stable/10000-8       	237736352	         5.076 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Set/8-8                 	26812870	        44.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Set/8-8                 	26763709	        44.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Set/8-8                 	26960889	        44.09 ns/op	       0 B/op	       0 allocs/op
